3	-27	2.9995	-26.9998	0	1.05081
3	-26	2.9995	-26	0	0.843906
3	-25	2.9995	-25	0	0.741974
3	-24	2.9995	-24	0	0.692548
3	-23	2.9995	-23	0	0.664116
3	-22	2.9995	-22	0	0.646117
3	-21	2.9995	-21	0	0.633788
3	-20	2.9995	-20	0	0.624861
3	-19	2.9995	-19	0	0.618129
3	-18	2.9995	-18	0	0.612945
3	-17	2.9995	-17	0	0.608838
3	-16	2.9995	-16	0	0.605508
3	-15	2.9995	-15	0	0.602768
3	-14	2.9995	-14	0	0.600489
3	-13	2.9995	-13	0	0.598576
3	-12	2.9995	-12	0	0.59696
3	-11	2.9995	-11	0	0.59559
3	-10	2.9995	-10	0	0.594427
3	-9	2.9995	-9	0	0.593438
3	-8	2.9995	-8	0	0.592602
3	-7	2.9995	-7	0	0.591899
3	-6	2.9995	-6	0	0.591314
3	-5	2.9995	-5	0	0.590836
3	-4	2.9995	-4	0	0.590456
3	-3	2.9995	-3	0	0.590167
3	-2	2.9995	-2	0	0.589964
3	-1	2.9995	-1	0	0.589843
3	0	2.9995	-8.6057e-19	0	0.594542
3	1	2.9995	1	0	0.589843
3	2	2.9995	2	0	0.589964
3	3	2.9995	3	0	0.590167
3	4	2.9995	4	0	0.590456
3	5	2.9995	5	0	0.590836
3	6	2.9995	6	0	0.591314
3	7	2.9995	7	0	0.591899
3	8	2.9995	8	0	0.592602
3	9	2.9995	9	0	0.593438
3	10	2.9995	10	0	0.594427
3	11	2.9995	11	0	0.59559
3	12	2.9995	12	0	0.59696
3	13	2.9995	13	0	0.598576
3	14	2.9995	14	0	0.600489
3	15	2.9995	15	0	0.602768
3	16	2.9995	16	0	0.605508
3	17	2.9995	17	0	0.608838
3	18	2.9995	18	0	0.612945
3	19	2.9995	19	0	0.618129
3	20	2.9995	20	0	0.624861
3	21	2.9995	21	0	0.633788
3	22	2.9995	22	0	0.646117
3	23	2.9995	23	0	0.664116
3	24	2.9995	24	0	0.692548
3	25	2.9995	25	0	0.741974
3	26	2.9995	26	0	0.843906
3	27	2.9995	26.9998	0	1.05081
4	-27	4.55088	-27.9882	0	2259.31
4	-26	2.7769	-26.248	0	2011.51
4	-25	2.96339	-25.1293	0	1486.27
4	-24	2.98969	-24.0693	0	1358.59
4	-23	2.9958	-23.0428	0	1300.55
4	-22	2.99782	-22.0289	0	1266.36
4	-21	2.99864	-21.0208	0	1243.62
4	-20	2.99902	-20.0155	0	1227.52
4	-19	2.99921	-19.012	0	1215.45
4	-18	2.99932	-18.0095	0	1206.1
4	-17	2.99938	-17.0077	0	1198.66
4	-16	2.99942	-16.0063	0	1192.63
4	-15	2.99945	-15.0052	0	1187.66
4	-14	2.99946	-14.0044	0	1183.51
4	-13	2.99948	-13.0037	0	1180
4	-12	2.99948	-12.0032	0	1177.13
4	-11	2.99949	-11.0026	0	1174.09
4	-10	2.99949	-10.0022	0	1182.91
4	-9	2.9995	-9.00177	0	1181.05
4	-8	2.9995	-8.00148	0	1179.47
4	-7	2.9995	-7.00124	0	1178.14
