x,y
-269.95294,4.2506561
-265.04471,4.2506561
-260.13647,4.2506561
-255.22823,4.2506561
-250.31999,4.2506561
-245.41176,4.2506561
-240.50352,4.2506561
-235.59529,4.2506561
-230.68706,4.2506561
-225.77882,4.2506561
-220.87057,4.2506561
-215.96234,4.2506561
-211.05411,4.2506561
-206.14587,4.2506561
-201.23764,4.2506561
-196.32941,4.2506561
-191.42117,4.2506561
-186.51294,4.2506561
-181.60471,4.2506561
-176.69647,4.2506561
-171.78822,4.2506561
-166.87999,4.2506561
-161.97176,4.2506561
-157.06352,4.2506561
-154.60941,2.1253281
-152.15529,2.1253281
-152.15529,6.3759847
-149.70117,2.1253281
-149.70117,6.3759847
-147.24706,6.3759847
-147.24706,2.1253281
-144.79294,6.3759847
-144.79294,2.1253281
-142.33882,2.1253281
-142.33882,6.3759847
-139.8847,2.1253281
-139.8847,6.3759847
-137.43059,6.3759847
-137.43059,2.1253281
-134.97647,6.3759847
-134.97647,2.1253281
-132.52235,2.1253281
-132.52235,6.3759847
-130.06824,2.1253281
-130.06824,6.3759847
-127.61411,6.3759847
-127.61411,2.1253281
-125.16,6.3759847
-125.16,2.1253281
-122.70588,2.1253281
-122.70588,6.3759847
-120.25176,2.1253281
-120.25176,6.3759847
-117.79765,6.3759847
-117.79765,2.1253281
-115.34353,6.3759847
-115.34353,2.1253281
-112.88941,2.1253281
-112.88941,6.3759847
-110.43529,2.1253281
-110.43529,6.3759847
-107.98117,6.3759847
-107.98117,2.1253281
-105.52705,6.3759847
-105.52705,2.1253281
-103.07294,2.1253281
-103.07294,6.3759847
-100.61882,2.1253281
-100.61882,6.3759847
-98.164703,6.3759847
-98.164703,2.1253281
-95.710587,6.3759847
-95.710587,2.1253281
-93.25647,2.1253281
-93.25647,6.3759847
-90.802353,2.1253281
-90.802353,6.3759847
-88.348236,6.3759847
-88.348236,2.1253281
-85.894112,6.3759847
-85.894112,2.1253281
-83.439995,2.1253281
-83.439995,6.3759847
-80.985878,2.1253281
-80.985878,6.3759847
-78.531761,6.3759847
-78.531761,2.1253281
-76.077644,6.3759847
-76.077644,2.1253281
-73.623528,2.1253281
-73.623528,6.3759847
-71.169411,2.1253281
-71.169411,6.3759847
-68.715294,6.3759847
-68.715294,2.1253281
-66.261177,6.3759847
-66.261177,2.1253281
-63.807056,2.1253281
-63.807056,6.3759847
-61.35294,2.1253281
-61.35294,6.3759847
-58.898823,6.3759847
-58.898823,2.1253281
-56.444706,6.3759847
-56.444706,2.1253281
-53.990585,2.1253281
-53.990585,6.3759847
-51.536469,2.1253281
-51.536469,6.3759847
-49.082352,6.3759847
-49.082352,2.1253281
-46.628235,6.3759847
-46.628235,2.1253281
-44.174118,2.1253281
-44.174118,6.3759847
-41.719997,2.1253281
-41.719997,6.3759847
-39.265881,6.3759847
-39.265881,2.1253281
-36.811764,6.3759847
-36.811764,2.1253281
-34.357647,2.1253281
-34.357647,6.3759847
-31.903528,2.1253281
-31.903528,6.3759847
-29.449411,6.3759847
-29.449411,2.1253281
-26.995293,6.3759847
-26.995293,2.1253281
-24.541176,2.1253281
-24.541176,6.3759847
-22.087059,2.1253281
-22.087059,6.3759847
-19.63294,6.3759847
-19.63294,2.1253281
-17.178823,6.3759847
-17.178823,2.1253281
-14.724706,2.1253281
-14.724706,6.3759847
-12.270588,2.1253281
-12.270588,6.3759847
-9.8164701,6.3759847
-9.8164701,2.1253281
-7.3623528,6.3759847
-7.3623528,2.1253281
-4.9082351,2.1253281
-4.9082351,6.3759847
-2.4541175,2.1253281
-2.4541175,6.3759847
0.0,6.3759847
0.0,2.1253281
2.4541175,6.3759847
2.4541175,2.1253281
4.9082351,2.1253281
4.9082351,6.3759847
7.3623528,2.1253281
7.3623528,6.3759847
9.8164701,6.3759847
9.8164701,2.1253281
12.270588,6.3759847
12.270588,2.1253281
14.724706,2.1253281
14.724706,6.3759847
17.178823,2.1253281
17.178823,6.3759847
