run,micro_mean,micro_mean_error,wind_mean,wind_mean_error,velocity,micro_amp_to_wind_amp,micro_amp_to_wind_amp_error
353,66.066635,0.028883304,395.74597,0.055606548,329.67932,0,0
354,66.03096,0.030887775,395.6741,0.060968067,329.64313,0,0
355,65.990379,0.029692484,395.46649,0.051423814,329.4761,0,0
356,66.05397,0.028199075,395.38181,0.053097788,329.32782,0,0
357,65.768372,0.030734882,394.7106,0.11408345,328.94223,0,0
358,65.774055,0.041128367,392.48526,0.3736856,326.71121,0,0
359,65.723534,0.030445445,394.75769,0.091177024,329.03415,0,0
360,65.698006,0.040932566,394.16675,0.14726345,328.46875,0,0
361,65.601479,0.031520743,393.99304,0.16376637,328.39157,0,0
362,65.691147,0.029714478,393.67154,0.18210383,327.98041,0,0
363,65.600777,0.028306056,393.9566,0.13042516,328.35583,0,0
364,65.516579,0.03192481,393.66843,0.17268008,328.15186,0,0
365,65.874207,0.032428585,394.0639,0.15135834,328.1897,0,0
366,65.936607,0.030221101,394.25266,0.11854583,328.31604,0,0
367,65.88356,0.031840853,394.60181,0.12880489,328.71826,0,0
368,65.589653,0.10933854,394.34857,0.53201228,328.75891,0,0
